1-tsne,2-tsne,3-tsne,batter_id,batter
-18.67747,-18.484253,1.5807725,438,608671
-7.517649,8.816961,-16.161573,439,543939
-11.73479,8.051812,-13.156488,440,593372
-7.105145,35.752136,5.7035255,441,607192
2.2651248,20.316547,-30.569033,442,571830
-42.063538,-7.023444,2.867682,443,425784
17.437284,8.299882,0.6639067,444,594742
-17.92762,-3.0559106,33.01066,445,607229
-13.44872,10.705485,8.047511,446,460026
11.839314,12.351406,25.22438,447,518452
-4.935031,-5.3187056,-19.81575,448,608718
26.82247,-10.145109,-25.853027,449,518934
19.082739,15.965378,-31.566532,450,592663
10.55161,17.52187,-7.56832,451,542303
-14.353283,2.7503967,4.202737,452,150029
34.74425,23.388187,-2.0277865,453,488768
-11.204473,-12.683924,37.067966,454,621035
